"ItemBarcode","BrowseAuthor","BrowseTitle","LastCheckOutRenewDate","ItemYTDCircCount","PrevYearCircCount","ItemLifetimeCircCount"
"39870000213547","Anderson, Poul, 1926-2001.","The fleet of stars","4/15/2016 12:00:00 AM","0",,"8"
"39870000357120","Tepper, Sheri S.","The family tree","3/12/2011 12:00:00 AM","0",,"4"
"39870000358300","Jordan, Robert, 1948-2007.","Crossroads of twilight","9/7/2016 4:19:08 PM","0","1","17"
"39870000487117","Goodkind, Terry.","Blood of the fold","10/2/2009 12:00:00 AM","0",,"25"
"39870000215690","Eddings, David.","The diamond throne","9/9/2011 12:00:00 AM","0",,"17"
"39870000216607","Sheffield, Charles.","Putting up roots : a Jupiter novel","10/21/2015 12:00:00 AM","0",,"10"
"39870000216615","Bradley, Marion Zimmer.","The shadow matrix.","8/5/2016 2:59:36 PM","0","2","8"
"39870000216664","Anthony, Piers.","Faun and games","9/14/2012 12:00:00 AM","0",,"21"
"39870000218611","Weis, Margaret.","Forging the darksword","1/31/2011 12:00:00 AM","0",,"20"
"39870000218868","Bradbury, Ray, 1920-2012.","The Martian chronicles","2/10/2017 3:37:09 PM","1","3","24"
"39870000220914","Eddings, David, author.","Pawn of prophecy","3/10/2017 2:57:17 PM","3","1","30"
"39870000221334","Salvatore, R. A., 1959-","Canticle","7/27/2015 12:00:00 AM","0",,"9"
"39870000221888","Anthony, Piers.","Golem in the gears","2/12/2013 12:00:00 AM","0",,"5"
"39870000365750","Bear, Greg, 1951-","Darwin's children","5/6/2017 11:01:56 AM","1","2","22"
"39870000222753","Zahn, Timothy.","Star Wars : specter of the past","11/24/2014 12:00:00 AM","0",,"12"
"39870000079914","Adams, Douglas, 1952-2001.","Dirk Gently's Holistic Detective Agency","6/15/2016 11:57:26 AM","0","2","20"
"39870000079922","Adams, Douglas, 1952-2001.","The hitchhiker's guide to the galaxy","3/25/2017 1:57:46 PM","2","1","55"
"39870000079930","Adams, Douglas, 1952-2001.","The long dark tea-time of the soul","4/10/2016 12:00:00 AM","0",,"19"
"39870000079955","Adams, Douglas, 1952-2001.","The restaurant at the end of the universe","6/19/2015 12:00:00 AM","0",,"20"
"39870000079997","Anderson, Poul, 1926-2001.","Harvest of stars","4/15/2016 12:00:00 AM","0",,"14"
"39870000080102","Anthony, Piers.","Demons don't dream","7/13/2013 12:00:00 AM","0",,"16"
"39870000080169","Anthony, Piers.","Isle of woman","12/22/2016 2:00:14 PM","0","1","25"
"39870000080235","Anthony, Piers.","Shame of man","12/22/2016 2:00:07 PM","0","1","15"
"39870000080318","Asimov, Isaac, 1920-1992.","Forward the foundation","7/6/2009 12:00:00 AM","0",,"3"
"39870000080326","Asimov, Isaac, 1920-1992.","Foundation and earth","2/25/2017 1:46:25 PM","1",,"5"
"39870000080334","Asimov, Isaac, 1920-1992.","The foundation trilogy : three classics of science fiction","6/10/2017 1:32:37 PM","1","2","24"
"39870000080342","Asimov, Isaac, 1920-1992.","Foundation's edge","11/17/2016 10:44:46 AM","0","1","5"
"39870000080359","Asimov, Isaac, 1920-1992.","The gods themselves.","2/27/2013 12:00:00 AM","0",,"9"
"39870000080375","Asimov, Isaac, 1920-1992.","Nightfall","11/1/2008 12:00:00 AM","0",,"3"
"39870000080391","Asimov, Isaac, 1920-1992.","Prelude to Foundation","10/24/2016 11:00:19 AM","0","1","7"
"39870000080425","Asimov, Isaac, 1920-1992.","The ugly little boy","2/3/2016 12:00:00 AM","0",,"6"
"39870000080441","Bear, Greg, 1951-","Eon","5/13/2017 1:12:27 PM","3","1","15"
"39870000080540","Bova, Ben, 1932-","Death dream","8/10/2016 4:51:58 PM","0","2","9"
"39870000080557","Bova, Ben, 1932-","Mars","7/5/2016 3:12:07 PM","0","1","15"
"39870000080599","Bova, Ben, 1932-","The trikon deception","7/29/2016 2:56:07 PM","0","3","6"
"39870000080615","Bradley, Marion Zimmer.","Black Trillium","7/29/2016 2:55:51 PM","0","1","9"
"39870000595380","Bradley, Marion Zimmer.","Lady of the Trillium","7/29/2016 2:55:42 PM","0","1","6"
"39870000537986","Brooks, Terry.","The druid of Shannara","4/22/2010 12:00:00 AM","0",,"19"
"39870000367335","Jordan, Robert, 1948-2007.","The world of Robert Jordan's The wheel of time","9/2/2016 3:32:36 PM","0","1","9"
"39870000534801","Brooks, Terry.","The talismans of Shannara","6/22/2005 12:00:00 AM","0",,"16"
"39870000083262","Card, Orson Scott.","Alvin journeyman","10/3/2013 12:00:00 AM","0",,"12"
"39870000083270","Card, Orson Scott.","The call of earth","5/14/2016 12:00:00 AM","0",,"15"
"39870000083288","Card, Orson Scott.","Earthborn","12/17/2013 12:00:00 AM","0",,"10"
"39870000083296","Card, Orson Scott.","Earthfall","12/17/2013 12:00:00 AM","0",,"9"
"39870000083312","Card, Orson Scott.","The memory of earth","4/12/2017 11:48:07 AM","2",,"22"
"39870000083338","Card, Orson Scott.","Prentice Alvin","10/3/2013 12:00:00 AM","0",,"12"
"39870000083346","Card, Orson Scott.","Red prophet","9/28/2013 12:00:00 AM","0",,"14"
"39870000083353","Card, Orson Scott.","Seventh son","8/8/2016 11:16:25 AM","0","2","22"
"39870000083361","Card, Orson Scott.","The ships of Earth","5/14/2016 12:00:00 AM","0",,"16"
"39870000083429","Carver, Jeffrey A.","Strange attractors","2/4/2017 4:01:49 PM","1",,"14"
"39870000083510","Clarke, Arthur C. (Arthur Charles), 1917-2008.","The hammer of God","3/7/2017 3:56:17 PM","1",,"3"
"39870000369653",,"Artifact : a Daredevils Club adventure","5/14/2016 12:00:00 AM","0",,"15"
"39870000083544","Clarke, Arthur C. (Arthur Charles), 1917-2008.","Rama II","3/7/2017 3:56:19 PM","1",,"10"
"39870000083577","Clarke, Arthur C. (Arthur Charles), 1917-2008.","2061, odyssey three","1/16/2014 12:00:00 AM","0",,"9"
"39870000083668","De Lint, Charles, 1951-","Memory and dream","10/31/2012 12:00:00 AM","0",,"7"
"39870000083825","Eddings, David.","The ruby knight","9/28/2011 12:00:00 AM","0",,"18"
"39870000083833","Eddings, David.","The sapphire rose","10/14/2011 12:00:00 AM","0",,"17"
"39870000226911",,"Time machines : the anthology of the best time travel stories ever written","5/17/2017 2:15:05 PM","1",,"18"
"39870000083858","Eddings, David.","The shining ones","10/26/2011 12:00:00 AM","0",,"16"
"39870000083924","Friedman, Michael Jan.","Reunion","7/25/2008 12:00:00 AM","0",,"8"
"39870000083999","Heinlein, Robert A. (Robert Anson), 1907-1988.","Job, a comedy of justice","4/17/2017 11:57:06 AM","1",,"10"
"39870000084005","Heinlein, Robert A. (Robert Anson), 1907-1988.","Stranger in a strange land","4/17/2017 11:57:22 AM","2",,"18"
"39870000084039","Herbert, Frank.","Dune messiah.","6/16/2017 12:47:34 PM","1","1","16"
"39870000084047","Herbert, Frank.","God Emperor of Dune","6/20/2017 6:01:42 PM","1",,"7"
"39870000084096","James, P. D.","The children of men","3/14/2015 12:00:00 AM","0",,"11"
"39870000487976","McCaffrey, Anne.","The masterharper of Pern","1/7/2015 12:00:00 AM","0",,"18"
"39870000227695","Anthony, Piers.","Spider legs","9/1/2012 12:00:00 AM","0",,"9"
"39870000229352","Bradbury, Ray, 1920-2012.","Driving blind","7/20/2016 5:40:22 PM","0","2","19"
"39870000230251","Willis, Connie.","To say nothing of the dog : or, How we found the bishop's bird stump at last","10/19/2016 2:05:32 PM","0","2","30"
"39870000230376","Pohl, Frederik.","The siege of eternity : the sequel to The other end of time","5/17/2017 2:15:00 PM","1",,"11"
"39870000230558","Bova, Ben, 1932-","Moonwar","8/10/2016 4:51:58 PM","0","2","15"
"39870000374844","Goodkind, Terry.","Naked empire","4/16/2010 12:00:00 AM","0",,"11"
"39870000232836","Bear, Greg, 1951-","Foundation and chaos","1/15/2013 12:00:00 AM","0",,"3"
"39870000377425","Heinlein, Robert A. (Robert Anson), 1907-1988.","The fantasies of Robert A. Heinlein","3/17/2017 2:55:57 PM","1",,"6"
"39870000377433","Marillier, Juliet.","Son of the shadows","2/20/2015 12:00:00 AM","0",,"18"
